Aertex,"Aertex is a British clothing company based in Manchester, established in 1888, and also the name of the textile manufactured by the company. It owns the trademark for Aertex fabric, a lightweight and loosely woven cotton material that is used to make shirts and underwear.[1] Aertex sells a range of menswear.
",https://en.wikipedia.org//wiki/Aertex
Alençon lace,"Alençon lace (UK: /ˈælənsɒn, æˈlɒ̃sɒ̃/,[1] US: /əˈlɛnsɒn, -sən/)[2][3] or point d'Alençon (French: [pwɛ̃ dalɑ̃sɔ̃]) is a needle lace that originated in Alençon, France. It is sometimes called the ""Queen of lace."" Lace making began in Alençon during the 16th century and the local industry was rapidly expanded during the reign of Louis XIV by Jean-Baptiste Colbert, who established a Royal Workshop in the town to produce lace in the Venetian style in 1665.  The purpose of establishing this workshop was to reduce the French court's dependence on expensive foreign imports.   Marthe La Perrière had modified the Venetian technique and Alençon emerged as a unique style around 1675 after Colbert's monopoly ended.
",https://en.wikipedia.org//wiki/Alen%C3%A7on_lace
Antique satin,"Antique satin, also called satin-back shantung,[1] refers to any five or eight harness (shaft) satin weave that uses slubbed or unevenly spun yarns in the weft (filling).[2] It is reversible in that one side is satin and the other is shantung. It is used for simulating 17th and 18th century silks[3] and clothing such as blouses, lingerie and evening wear.[1]
",https://en.wikipedia.org//wiki/Antique_satin
Argentan lace,"Argentan lace or Point d'Argentan is a needle lace from the 18th century. Argentella is derived from Argentan.[1]
",https://en.wikipedia.org//wiki/Argentan_lace
Argentella,"Argentella is a type of needle lace derived from Argentan lace,[1] with a Rosacé ground, a ""striking ground of tiny webs.""[1]
",https://en.wikipedia.org//wiki/Argentella
Armenian needlelace,"Armenian needlelace (also known as Bebilla, Nazareth Lace and Knotted Lace) is a pure form of needle lace made using only a needle, thread and pair of scissors. 
",https://en.wikipedia.org//wiki/Armenian_needlelace
Baize,"Baize is a coarse woollen (or in cheaper variants cotton) cloth, similar in texture to felt, but more durable.
",https://en.wikipedia.org//wiki/Baize
Ballistic nylon,"Ballistic nylon is a thick, tough, nylon fabric with several uses. Ballistic nylon was developed by the DuPont corporation as a material for flak jackets to be worn by World War II airmen. The term ballistic nylon originates in the fabric's intended function, protecting its wearers from flying debris and fragmentation caused by bullet and artillery-shell impacts.
",https://en.wikipedia.org//wiki/Ballistic_nylon
Bamboo textiles,"Bamboo textile is any cloth, yarn, or clothing made from bamboo fibres. While historically used only for structural elements, such as bustles and the ribs of corsets, in recent years, different technologies have been developed that allow bamboo fibre to be used for a wide range of textile and fashion applications. Examples include clothing such as shirt tops, pants, sock for adults and children as well as bedding such as sheets and pillow covers. Bamboo yarn can also be blended with other textile fibres such as hemp or spandex. Bamboo is an alternative to plastic that is renewable and can be replenished at a fast rate.
",https://en.wikipedia.org//wiki/Bamboo_textiles
Ban-Lon,"Ban-Lon (sometimes spelled BanLon or Banlon) is a trademarked, multistrand, continuous-filament synthetic yarn used in the retail clothing industry. It was created in 1954 by Joseph Bancroft & Sons Company, by applying a process for crimping yarn to nylon in order to achieve greater bulk than ordinary yarns.[1][2] It became popular for outerwear, swimsuits, sweaters and  hose. It is frequently associated with 1950s and 1960s American clothing and culture.[3][4]
",https://en.wikipedia.org//wiki/Ban-Lon
Barathea,"Barathea, sometimes spelled barrathea,[1] is a soft fabric, with a hopsack twill weave giving a surface that is lightly pebbled or ribbed.[2] The yarns used cover various combinations of wool, silk and cotton.  Worsted barathea (made with a smooth wool yarn) is often used for evening coats,[3] such as dress coats, dinner jackets, and military uniforms,[4] in black and midnight blue. Silk barathea, either all silk, or using cotton weft and silken warp, is widely used in the necktie industry.[1]
",https://en.wikipedia.org//wiki/Barathea
